id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401249002,2020,9,2020-11-01T02:30:00.000Z,Allegiant Stadium,UNLV,19.0,Nevada,Mountain West,37.0
401249857,2020,10,2020-11-04T23:00:00.000Z,Summa Field at InfoCision Stadium,Akron,13.0,Western Michigan,Mid-American,58.0
401249856,2020,10,2020-11-04T23:00:00.000Z,Dix Stadium,Kent State,27.0,Eastern Michigan,Mid-American,23.0
401249860,2020,10,2020-11-05T00:00:00.000Z,Kelly/Shorts Stadium,Central Michigan,30.0,Ohio,Mid-American,27.0
401249889,2020,10,2020-11-05T00:00:00.000Z,Yager Stadium,Miami (OH),38.0,Ball State,Mid-American,31.0
401249859,2020,10,2020-11-05T00:00:00.000Z,Brigham Field at Huskie Stadium,Northern Illinois,30.0,Buffalo,Mid-American,49.0
401249858,2020,10,2020-11-05T01:00:00.000Z,Glass Bowl,Toledo,38.0,Bowling Green,Mid-American,3.0
401249009,2020,10,2020-11-06T00:00:00.000Z,Mackay Stadium,Nevada,34.0,Utah State,Mountain West,9.0
401249010,2020,10,2020-11-06T02:00:00.000Z,Canvas Stadium,Colorado State,34.0,Wyoming,Mountain West,24.0
401234630,2020,10,2020-11-07T00:30:00.000Z,Carter-Finley Stadium,NC State,41.0,Miami,ACC,44.0
401249008,2020,10,2020-11-07T02:00:00.000Z,Qualcomm Stadium,San Diego State,17.0,San José State,Mountain West,28.0
401249005,2020,10,2020-11-07T02:45:00.000Z,Albertsons Stadium,Boise State,17.0,BYU,FBS Independents,51.0
401212480,2020,10,2020-11-07T17:00:00.000Z,Liberty Bowl Memorial Stadium,Memphis,34.0,South Florida,American Athletic,33.0
401234636,2020,10,2020-11-07T17:00:00.000Z,Lane Stadium,Virginia Tech,35.0,Liberty,FBS Independents,38.0
401236022,2020,10,2020-11-07T17:00:00.000Z,Darrell K Royal-Texas Memorial Stadium,Texas,17.0,West Virginia,Big 12,13.0
401212525,2020,10,2020-11-07T17:00:00.000Z,Dowdy-Ficklen Stadium,East Carolina,21.0,Tulane,American Athletic,38.0
401215327,2020,10,2020-11-07T17:00:00.000Z,Georgia State Stadium,Georgia State,52.0,Louisiana Monroe,Sun Belt,34.0
401249400,2020,10,2020-11-07T17:00:00.000Z,Los Angeles Memorial Coliseum,USC,28.0,Arizona State,Pac-12,27.0
401247307,2020,10,2020-11-07T17:00:00.000Z,Ryan Field,Northwestern,21.0,Nebraska,Big Ten,13.0
401247309,2020,10,2020-11-07T17:00:00.000Z,Memorial Stadium,Indiana,38.0,Michigan,Big Ten,21.0
401212490,2020,10,2020-11-07T17:00:00.000Z,Lincoln Financial Field,Temple,23.0,SMU,American Athletic,47.0
401234633,2020,10,2020-11-07T17:00:00.000Z,Wallace Wade Stadium,Duke,24.0,North Carolina,ACC,56.0
401247313,2020,10,2020-11-07T17:00:00.000Z,Kinnick Stadium,Iowa,49.0,Michigan State,Big Ten,7.0
401253924,2020,10,2020-11-07T17:00:00.000Z,Cajun Field,Louisiana,27.0,Arkansas State,Sun Belt,20.0
401215326,2020,10,2020-11-07T18:00:00.000Z,Paulson Stadium,Georgia Southern,20.0,Troy,Sun Belt,13.0
401234631,2020,10,2020-11-07T19:00:00.000Z,Carrier Dome,Syracuse,13.0,Boston College,ACC,16.0
401251931,2020,10,2020-11-07T19:30:00.000Z,Joan C. Edwards Stadium,Marshall,51.0,UMass,FBS Independents,10.0
401240035,2020,10,2020-11-07T20:00:00.000Z,M. M. Roberts Stadium,Southern Mississippi,24.0,North Alabama,Big South,13.0
401215324,2020,10,2020-11-07T20:00:00.000Z,Jim Wacker Field at Bobcat Stadium,Texas State,17.0,Appalachian State,Sun Belt,38.0
401239874,2020,10,2020-11-07T20:00:00.000Z,Roy Kidd Stadium,Eastern Kentucky,6.0,Stephen F. Austin,Southland,24.0
